gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984239,ERR2984238,ERR2984249
LOC112533355|LOC112533355,0,0,4,0,0,0
KERA|KERA,4,0,0,0,4,0
ATP2B1|ATP2B1,230,231,263,2988,1609,1344
LOC112533348|LOC112533348,245,162,264,8,1,3
DCN|DCN,9,0,14,2755,2420,1791
LOC112533362|LOC112533362,0,5,3,126,52,70
BTG1|BTG1,357,137,259,21458,11962,11757
PLEKHG7|PLEKHG7,58,18,45,6,0,0
EEA1|EEA1,200,138,180,2122,1410,1351
UBE2N|UBE2N,420,210,293,3281,2326,1516
NUDT4|NUDT4,251,231,257,8437,4933,5327
SOCS2|SOCS2,681,222,541,1780,2100,1390
ERR2984226.621|TRNAM-CAU,746,607,704,0,0,0
LOC112533382|LOC112533382,92,18,80,0,0,6
MRPL42|MRPL42,539,410,577,1108,791,487
LOC107052984|LOC107052984,1574,515,924,2248,2600,2342
LOC107052933|LOC107052933,5,0,3,0,4,0
CRADD|CRADD,595,350,539,1253,781,622
LOC112533381|LOC112533381,10,14,13,5,0,0
CEP83|CEP83,2102,728,2008,228,138,84
PLXNC1|PLXNC1,74,36,44,1932,740,707
TMCC3|TMCC3,8308,7242,8265,339,308,176
SNAPC3|SNAPC3,0,0,0,712,435,299
NDUFA12|NDUFA12,852,620,742,3388,1886,1473
NR2C1|NR2C1,4105,3178,2956,1151,787,695
METAP2|METAP2,1195,946,1305,2587,1862,1428
VEZT|VEZT,8,0,15,1119,982,1052
LOC101751743|LOC101751743,881,480,724,41,29,12
FGD6|FGD6,408,385,433,1103,636,753
LOC107052983|LOC107052983,448,141,777,238,100,122
LOC112533391|LOC112533391,470,351,562,119,106,78
NTN4|NTN4,6,4,7,43,32,16
SNRPF|SNRPF,10,0,0,910,755,451
USP44|USP44,98,84,72,3019,2314,2506
AMDHD1|AMDHD1,1372,415,791,12320,5648,6477
HAL|HAL,194,106,139,19415,8028,8105
ELK3|ELK3,243,204,230,528,268,196
LTA4H|LTA4H,1253,1587,1593,3681,1856,1852
CFAP54|CFAP54,430,342,401,9,15,8
NEDD1|NEDD1,575,432,481,1081,777,608
CDK17|CDK17,559,262,435,1888,1118,1221
LOC107052950|LOC107052950,31,55,19,0,0,0
TMPO|TMPO,66,46,37,1652,1046,815
APAF1|APAF1,28,8,13,873,688,568
IKBIP|IKBIP,1290,932,1467,824,827,413
SLC25A3|SLC25A3,22,25,13,18651,15778,11912
LOC112531638|LOC112531638,358,521,545,41,61,51
ANKS1B|ANKS1B,1325,912,849,25,9,19
ACTR6|ACTR6,0,3,0,1630,996,860
UHRF1BP1L|UHRF1BP1L,178,190,187,2843,1773,1581
SLC17A8|SLC17A8,1715,873,1516,32,21,20
SCYL2|SCYL2,4452,2978,5062,3349,2208,2278
NR1H4|NR1H4,6065,3405,5206,2880,1715,1754
GAS2L3|GAS2L3,12,0,7,355,205,79
