"genes","CN_2w_2","CN_2w_1","CN_4w_1","HT_3hr_1","HT_3hr_2","HT_3hr_4"
"FAM109B|FAM109B",321,1234,1351,182,92,64
"NAGA|NAGA",588,1778,1612,203,235,79
"MEI1|MEI1",46,91,115,3578,1250,1068
"SNU13|SNU13",144,658,626,200,118,103
"SREBF2|SREBF2",3397,12834,9845,1677,691,943
"PMM1|PMM1",538,2891,2206,26098,10329,13034
"POLR3H|POLR3H",185,698,621,5,7,4
"TOB2|TOB2",790,3735,3498,2662,1215,1001
"ACO2|ACO2",1824,5830,6101,1129,673,639
"PHF5A|PHF5A",237,1044,814,274,174,136
"LOC112533440|LOC112533440",33,201,86,1810,649,794
"LOC101748546|LOC101748546",215,1365,981,795,506,381
"TEF|TEF",134,321,605,187,59,110
"ZC3H7B|ZC3H7B",1050,3023,4679,696,383,380
"L3MBTL2|L3MBTL2",138,365,451,470,198,165
"EP300|EP300",425,862,1988,7,6,0
"SGSM3|SGSM3",69,403,429,3434,1247,718
"MKL1|MKL1",196,456,983,15117,5545,5458
"LOC101749129|LOC101749129",39,145,130,504,211,272
"RBX1|RBX1",211,1263,876,9949,3584,3241
"MIR1683|MIR1683",7,12,11,1006,513,458
"ERR2984226.825|MIR1683",1,1,1,158,102,30
"XPNPEP3|XPNPEP3",101,278,365,5974,1833,912
"LOC107053692|LOC107053692",0,0,0,1259,518,404
"FAM83F|FAM83F",0,0,0,6023,2589,3123
"LOC112533453|LOC112533453",0,0,0,4121,1738,2125
"GRAP2|GRAP2",72,124,385,583,235,234
"ADSL|ADSL",3878,14890,14039,514,256,238
"RPS19BP1|RPS19BP1",163,556,679,19,16,9
"TAB1|TAB1",68,356,264,743,339,335
"LOC107053686|LOC107053686",31,82,46,218,71,83
"MIEF1|MIEF1",280,817,1051,874,513,530
"SYNGR1|SYNGR1",556,1815,1847,1,1,1
"ATF4|ATF4",7006,21264,23669,691,272,277
"PDGFB|PDGFB",6,32,56,9014,3606,2862
"CBX7|CBX7",171,269,892,1128,488,447
