gene_id,ERR2984230,ERR2984231,ERR2984232,ERR2984233,ERR2984242,ERR2984243,ERR2984244,ERR2984245
CAV1|CAV1,20,12,32,8,21,21,16,12
TES|TES,99,52,133,20,107,126,92,73
LOC112533188|LOC112533188,6,0,9,0,0,0,0,0
TFEC|TFEC,20,0,14,3,27,25,38,20
MET|MET,1494,1354,1269,1019,3450,1590,1981,2353
LOC112533184|LOC112533184,25,13,6,25,16,6,17,11
MDFIC|MDFIC,276,115,176,125,431,225,181,197
GPR85|GPR85,0,0,0,0,4,0,0,0
LOC107052650|LOC107052650,519,471,826,368,931,677,501,403
FOXP2|FOXP2,608,517,498,576,1670,1588,1225,804
LOC112533189|LOC112533189,0,0,0,3,0,0,0,3
BMT2|BMT2,210,90,191,59,357,166,172,189
TMEM168|TMEM168,836,621,836,516,1671,993,754,904
LOC112533197|LOC112533197,0,0,6,0,12,12,4,8
ZNF277|ZNF277,152,121,182,131,335,149,133,126
IFRD1|IFRD1,3878,2306,4203,2688,4729,2776,5095,4235
DOCK4|DOCK4,248,83,103,56,390,155,103,184
IMMP2L|IMMP2L,381,226,349,343,656,386,341,282
LRRN3|LRRN3,8,0,4,0,0,0,0,0
DNAJB9|DNAJB9,1685,909,2006,1041,2489,963,824,576
THAP5|THAP5,502,306,502,405,814,362,359,305
PNPLA8|PNPLA8,625,458,556,403,1262,713,755,929
CNTN1|CNTN1,9,3,23,1,18,15,9,0
NRCAM|NRCAM,13,6,12,6,23,11,8,5
PDZRN4|PDZRN4,4,1,0,4,5,4,6,10
GXYLT1|GXYLT1,295,154,290,162,482,248,224,242
YAF2|YAF2,308,300,341,212,650,341,286,280
PRICKLE1|PRICKLE1,104,60,76,34,216,56,76,83
MIR7447,0,1,0,0,0,0,0,0
MIR7447|MIR7447,0,2,0,0,0,0,0,0
ZCRB1|ZCRB1,437,397,440,340,696,347,539,398
PPHLN1|PPHLN1,301,254,284,178,638,263,263,306
TMEM117|TMEM117,12,0,0,8,20,5,0,6
PUS7L|PUS7L,258,114,169,175,371,213,276,196
IRAK4|IRAK4,401,323,300,588,809,450,361,446
TWF1|TWF1,726,603,913,217,1550,499,525,624
DBX2|DBX2,0,0,0,0,9,9,3,0
ANO6|ANO6,15,0,22,0,20,20,0,15
LOC112533246|LOC112533246,126,30,164,23,240,60,105,111
NELL2|NELL2,1007,357,1312,423,2417,883,800,751
LOC101749362|LOC101749362,272,217,187,211,624,294,284,356
ARID2|ARID2,521,388,437,353,956,506,684,681
LOC107052702|LOC107052702,0,0,0,0,0,0,0,0
LOC107052703|LOC107052703,18,0,0,0,14,7,13,4
SLC38A1|SLC38A1,323,175,291,161,328,227,249,329
LOC107052706|LOC107052706,0,0,0,0,0,0,0,0
SCAF11|SCAF11,1816,1545,1875,1411,4236,1622,1586,1757
LOC112533247|LOC112533247,0,0,0,0,0,0,9,0
LOC101749506|LOC101749506,5,8,9,0,0,0,10,10
SLC38A2|SLC38A2,8162,5227,5382,6011,12388,4776,7848,5964
AMIGO2|AMIGO2,58,20,47,24,102,57,48,58
LOC112533249|LOC112533249,19,11,41,15,47,17,28,87
LRIG3|LRIG3,0,8,10,0,0,28,15,14
SLC16A7|SLC16A7,245,55,118,65,291,223,133,179
ATP23|ATP23,835,810,1022,956,1695,889,871,906
RPAP3|RPAP3,499,441,467,359,901,427,443,480
SLC38A4|SLC38A4,18545,11366,14605,11526,44518,18495,25246,22969
LOC101749586|LOC101749586,1208,1491,968,2743,2181,2726,3225,1541
FAM19A2|FAM19A2,14,9,11,6,24,6,23,21
LOC107052719|LOC107052719,2034,6936,9292,8580,24865,5552,4875,6805
LOC107052718|LOC107052718,5844,5932,11963,6534,21574,4292,6416,6661
USP15|USP15,1665,959,1373,892,2887,1435,1479,1587
MIRLET7I,0,0,1,1,1,0,0,1
MIRLET7I|MIRLET7I,1,1,2,3,2,0,1,2
MON2|MON2,2589,1408,2639,1135,6813,2394,2197,2608
LOC101750768|LOC101750768,5,10,8,8,11,9,0,20
TMEM5|TMEM5,178,208,207,110,438,178,199,196
PPM1H|PPM1H,414,224,374,131,923,327,315,460
SRGAP1|SRGAP1,203,68,180,92,375,352,149,164
C1H12ORF66|C1H12ORF66,2246,1830,2113,1885,3791,1914,2219,1952
RPL18A|RPL18A,2224,4246,3881,5005,5328,3982,3890,3026
LOC112531625|LOC112531625,1,1,1,1,1,1,1,1
XPOT|XPOT,1833,1307,2353,1084,4563,2060,1900,2049
TBK1|TBK1,932,375,426,276,1227,574,918,767
RASSF3|RASSF3,6703,3656,4914,3207,12493,5789,8365,8674
TBC1D30|TBC1D30,659,320,652,225,1169,398,320,492
LEMD3|LEMD3,415,270,300,232,729,248,367,361
GNS|GNS,9382,4952,8533,4697,19213,8210,8588,8584
MSRB3|MSRB3,494,614,523,608,2606,1048,1219,1340
LLPH|LLPH,347,500,490,621,588,398,482,473
TMBIM4|TMBIM4,549,406,466,442,1123,718,586,666
HELB|HELB,961,729,627,741,1733,833,1128,782
