"genes","logFC","logCPM","PValue","FDR"
"CRIPT",-12.8141655452655,3.70295971945946,1.26955254569467e-71,1.09322164703808e-70
"URI1",-7.12342360324498,4.64560585333288,1.27504220962631e-71,1.09730222669431e-70
"PDCD11",-12.7597560663612,3.65196258744146,1.51602836328713e-71,1.30392716143112e-70
"LOC107051885",13.5062543995855,4.40992676062907,1.53249398576269e-71,1.3173138008206e-70
"GNA11",-12.5226303681288,3.41288042632346,1.56746511074315e-71,1.34658246109874e-70
"PDZK1",5.70460556683895,5.11830587125118,1.69330438349088e-71,1.45383413372222e-70
"PSIP1",-12.3904163430281,3.28063288973813,1.73152055992903e-71,1.4857727505721e-70
"UQCRQ",-15.0177149510314,5.91063086668088,1.80428794550834e-71,1.54730397580477e-70
"CHRND",13.42058265386,4.32477508778419,1.82824791831032e-71,1.56693177890139e-70
"PYGO1",9.23410029038914,7.16530560045431,1.99146287041554e-71,1.70581752200365e-70
"SCAMP4",-5.92294915051266,4.08596024760319,2.05192151779853e-71,1.75657464203808e-70
"LOC112531397",9.46895631661771,4.32603160263409,2.05360409778622e-71,1.75698575415398e-70
"LOC107050437",6.32367338488914,4.8651406035959,2.12150353978792e-71,1.81401587050444e-70
"CUBN",8.48565409157471,5.70273016883713,2.13907254867381e-71,1.82796883940177e-70
"IDI1",-13.5838699585354,7.03186170638908,2.16839723062918e-71,1.85194557166477e-70
"PNPO",-13.6520481168199,4.54532883133537,2.20880140913345e-71,1.88535134297121e-70
"LOC112532820",12.8336016618313,3.7424602996317,2.26274942631326e-71,1.93027188363781e-70
"ATP5F1B",-10.4136151612937,8.38885560402898,2.29735147563886e-71,1.9586462726669e-70
"LOC101748470",7.18293060157251,5.29239004106322,2.48591742813233e-71,2.11817559051299e-70
"M6PR",-5.96683825284909,6.24142581021196,2.54258005146193e-71,2.16519360676067e-70
"LOC101747844",10.1146840773311,8.53228986986641,2.93510035281757e-71,2.49799775513822e-70
"LOC112531084",14.5158659921397,5.41467821782391,2.95182268563114e-71,2.51076745664306e-70
"GAPVD1",-7.26994243608035,4.93053384182504,3.43530764350276e-71,2.92031126204222e-70
"MIR1791",12.8485959406337,3.75723781367595,3.54679510878963e-71,3.01333237934551e-70
"EFCAB1",8.03245271938157,4.47467181968691,3.60153472731102e-71,3.05806083499105e-70
"LOC769121",15.0179961357501,5.91528242297797,3.62889473312414e-71,3.07950283014768e-70
"ARHGAP20",8.08465747788802,6.40245421548121,3.73681243139402e-71,3.16924202321305e-70
"UCHL3",-12.5773944264256,3.46811281498335,3.76777211067715e-71,3.19364581515807e-70
"OTUD6B",-8.08015499003237,4.5833473837972,3.7812155693636e-71,3.20318278928176e-70
"LOC112532241",6.45754585742316,4.12186690643947,4.00330389554577e-71,3.38935572570164e-70
"SMURF1",-7.24519067550394,5.33209654702748,4.06345120747089e-71,3.4382867686608e-70
"LOC112532986",12.6612636527007,3.57187153969077,4.11191873327103e-71,3.47728405377833e-70
"KIF13A",-8.79327744477902,4.28223326640357,4.23724089822843e-71,3.58119151219272e-70
"ARTN",9.54615689496233,5.33113169424905,4.25639818448768e-71,3.59530327571783e-70
"BZW2",-9.96310102471836,3.41134814718185,4.97577116432548e-71,4.20051669695484e-70
"ITGB1",-7.98880822107058,5.23620308892901,5.32114396856603e-71,4.48948480442584e-70
"PLEKHF2",5.52103781442379,7.69804633165187,5.68316919232219e-71,4.79216107371057e-70
"LOC107052392",-6.66654222489211,5.08879782065241,5.90270189410914e-71,4.97440500453385e-70
"CYP2AB5",12.92215686797,3.8300345385296,6.09895804360393e-71,5.13683423003944e-70
"LOC421106",-12.4382674699921,3.32690965784232,6.15341100120698e-71,5.17971169128097e-70
"MIR7461",13.6404698342696,4.54332964363233,6.46243893169717e-71,5.43670812371276e-70
"PDIA5",-5.32906651027469,5.81069874347686,6.99525486457862e-71,5.88156843130538e-70
