genes	rank
SLC38A4|SLC38A4	2.58751532160293
VPS4A|VPS4A	-2.58647033014184
MBL2|MBL2	2.58633730126155
GALNT11|GALNT11	2.58561833872775
RB1CC1|RB1CC1	2.58400156612586
CEPT1|CEPT1	2.58351757156215
VPS16|VPS16	-2.58025047237672
LRRC39|LRRC39	-2.57495341881062
ZCCHC6|ZCCHC6	2.57482142567551
S100A10|S100A10	-2.57429339379677
LOC112533096|LOC112533096	-2.57400325457962
ADAMTS1|ADAMTS1	-2.57384361222567
RPF2|RPF2	-2.57321956450281
GINS4|GINS4	-2.57055937780046
SLC16A5|SLC16A5	2.57010463796738
LOC107054673|LOC107054673	2.56567662494257
EIF2S2|EIF2S2	-2.56536846827997
ILF2|ILF2	-2.56364376028118
CCDC137|CCDC137	-2.56326720521003
NOP16|NOP16	-2.55931537749245
C5H11orf49|C5H11orf49	2.5589917236753
PSMC3IP|PSMC3IP	-2.5537802366894
FFAR4|FFAR4	2.55138837524779
C19orf70|C19orf70	-2.55074118232638
COQ9|COQ9	-2.55000681487572
MPC1|MPC1	-2.54976524085309
LOC107053670|LOC107053670	-2.54934972979713
TOE1|TOE1	-2.54860982481534
ERR2984230.28023	-2.54791460627134
USP36|USP36	-2.54751417980159
N4BP2L1|N4BP2L1	2.5471237722719
MRPL40|MRPL40	-2.54671260128152
LOC107055568|LOC107055568	-2.54606077483946
DNAH11|DNAH11	2.54395097645224
COPZ1|COPZ1	-2.54103704134743
TMEM98|TMEM98	-2.53956310816999
ARL16|ARL16	-2.53921472910067
PDE12|PDE12	-2.53911002055743
RAPGEF4|RAPGEF4	2.53875876913773
KIAA1524|KIAA1524	2.53855071358731
PSMA5|PSMA5	-2.53808427481417
NDUFB10|NDUFB10	-2.53429392812578
PDIK1L|PDIK1L	2.53358129189099
WHSC1L1|WHSC1L1	2.532187757555
MRPL46|MRPL46	-2.52816018285098
NASP|NASP	-2.52791383649802
IL17RA|IL17RA	2.52784665858987
FNIP1|FNIP1	2.5192390541375
LOC112531007|LOC112531007	-2.51915616425545
RBM47|RBM47	2.51774771445317
TPMT|TPMT	-2.51699794321881
FBXL3|FBXL3	2.50910229549548
UGT8|UGT8	2.5081197831136
ZNF628|ZNF628	-2.50751892409679
LPIN2|LPIN2	2.50702569690926
UAP1|UAP1	-2.50592168144185
LOC101751892|LOC101751892	2.50450589869272
SLC23A2|SLC23A2	2.5031668517852
ARFGEF2|ARFGEF2	2.50225531943226
LOC107054010|LOC107054010	2.49982323414089
FBXO8|FBXO8	2.49976185725652
LOC107055064|LOC107055064	2.49679980186271
FOXK1|FOXK1	2.49630702627241
FAM162A|FAM162A	-2.49529698526531
GRAMD1B|GRAMD1B	-2.49507420099587
MRPL19|MRPL19	-2.49361346088832
LOC101749926|LOC101749926	2.49258450183854
PPTC7|PPTC7	2.4917974042834
KLF15|KLF15	-2.48897457061706
FAHD1|FAHD1	-2.4884180529636
RBM19|RBM19	-2.48724817507192
FOXI1|FOXI1	2.48525646711161
ARHGEF38|ARHGEF38	2.48522781702864
ORC4|ORC4	-2.48520323949996
LOC112531361|LOC112531361	-2.4844044342544
MORN4|MORN4	-2.48327111383405
MRPL23|MRPL23	-2.482809528042
CDCP2|CDCP2	2.48260597517791
SEC61G|SEC61G	-2.48125273258739
SELENOP1|SELENOP1	2.47810677677981
LECT2|LECT2	2.47693649302283
MAFG|MAFG	2.47673066790314
PHLDB2|PHLDB2	2.47663372418889
CA5A|CA5A	2.47524974001846
PRELID1|PRELID1	-2.47339195163982
TMPRSS13|TMPRSS13	2.47325573629602
LOC112531610|LOC112531610	-2.47232581442319
CDC42BPB|CDC42BPB	2.46679090089517
RORA|RORA	2.46551120013614
LOC770352|LOC770352	2.46388387891422
ELOVL5|ELOVL5	-2.45946469136112
KLHL24|KLHL24	2.45901043302403
SIRT5|SIRT5	-2.45811485340178
HPS3|HPS3	2.45653198409317
MARCH1|MARCH1	2.45633937081583
HYOU1|HYOU1	-2.45419491814312
SMOX|SMOX	-2.4509544433864
BNIP3|BNIP3	2.45074933342366
LOC101749704|LOC101749704	2.45051953356477
MTO1|MTO1	-2.44958279360031
SLC26A5|SLC26A5	2.44934238214421
BET1|BET1	-2.44684481303047
RASA4|RASA4	-2.44370414019573
KMO|KMO	2.44217519420541
SDHAF2|SDHAF2	-2.44174973325211
LOC112533223|LOC112533223	2.44134042969214
MAP3K7CL|MAP3K7CL	-2.44104628292648
GNAT2|GNAT2	-2.44069627354892
THAP7|THAP7	-2.44051892905025
ERR2984230.28034	-2.43795644014676
SLC43A3|SLC43A3	-2.43138705757077
CDIP1|CDIP1	-2.42969201066803
LOC107052502|LOC107052502	2.42902572118935
MRPS25|MRPS25	-2.42856618801446
COMMD7|COMMD7	-2.42831081258288
LOC107052777|LOC107052777	2.42800320044775
MRPS15|MRPS15	-2.42763746576633
LOC112530227|LOC112530227	2.42684161362046
CYP2C23a|CYP2C23a	2.42670891385472
CSF2RA|CSF2RA	2.42493137605726
LOC107053656|LOC107053656	2.42478599710689
CASP1|CASP1	-2.42468434644544
MRPS22|MRPS22	-2.42166932684627
PATL2|PATL2	-2.42131300333776
LOC112530040|LOC112530040	-2.4212893455062
ADAMTS13|ADAMTS13	2.41865548334284
SUN1|SUN1	2.41783037419985
LOC423629|LOC423629	2.41683077836549
KANSL3|KANSL3	-2.41626003406444
MAN1A1|MAN1A1	2.41482617753899
PGP|PGP	-2.41427752335624
SDHC|SDHC	-2.41410651457325
ATF4|ATF4	-2.41405584738453
POLB|POLB	-2.41148361154944
NGEF|NGEF	-2.40899427449595
EIF2S1|EIF2S1	-2.40664028409519
