gene_id,CN_2w_2,CN_2w_1,CN_4w_1,HT_2w_2,HT_2w_1,HT_4w_1
TMTC2|TMTC2,76,298,280,553,297,205
KITLG|KITLG,0,0,18,18,12,0
LOC107052880|LOC107052880,0,3,0,0,4,0
DUSP6|DUSP6,106,233,542,509,382,225
LOC101751742|LOC101751742,25,20,82,79,37,30
POC1B|POC1B,58,226,335,608,289,296
GALNT4|GALNT4,87,283,609,837,622,498
LOC107052879|LOC107052879,76,388,276,738,333,220
C1H12orf50|C1H12orf50,254,464,598,1308,839,744
C1H12orf29|C1H12orf29,267,883,1146,2081,1323,1091
CEP290|CEP290,22,49,138,165,83,152
TMTC3|TMTC3,218,584,734,1097,779,732
LUM|LUM,154,536,491,1107,724,480
EPYC|EPYC,0,0,0,7,0,10
LOC112533355|LOC112533355,0,0,0,0,0,0
KERA|KERA,0,0,0,0,4,0
ATP2B1|ATP2B1,390,911,1977,2988,1609,1344
LOC112533348|LOC112533348,0,3,13,8,1,3
DCN|DCN,779,1551,2355,2755,2420,1791
LOC112533362|LOC112533362,44,39,114,126,52,70
BTG1|BTG1,3080,10452,10228,21458,11962,11757
PLEKHG7|PLEKHG7,0,0,0,6,0,0
EEA1|EEA1,253,786,1520,2122,1410,1351
UBE2N|UBE2N,491,1666,1792,3281,2326,1516
NUDT4|NUDT4,1396,4433,6752,8437,4933,5327
SOCS2|SOCS2,102,454,717,1780,2100,1390
ERR2984226.621|TRNAM-CAU,1,0,0,0,0,0
LOC112533382|LOC112533382,2,0,0,0,0,6
MRPL42|MRPL42,182,626,646,1108,791,487
LOC107052984|LOC107052984,285,650,1792,2248,2600,2342
LOC107052933|LOC107052933,0,8,0,0,4,0
CRADD|CRADD,150,587,693,1253,781,622
LOC112533381|LOC112533381,6,3,21,5,0,0
CEP83|CEP83,43,116,107,228,138,84
PLXNC1|PLXNC1,375,399,2209,1932,740,707
TMCC3|TMCC3,35,102,184,339,308,176
SNAPC3|SNAPC3,88,406,287,712,435,299
NDUFA12|NDUFA12,565,2979,1765,3388,1886,1473
NR2C1|NR2C1,204,491,700,1151,787,695
METAP2|METAP2,525,1598,1908,2587,1862,1428
VEZT|VEZT,222,630,856,1119,982,1052
LOC101751743|LOC101751743,0,0,21,41,29,12
FGD6|FGD6,224,363,827,1103,636,753
LOC107052983|LOC107052983,34,8,42,238,100,122
LOC112533391|LOC112533391,27,80,117,119,106,78
NTN4|NTN4,0,18,22,43,32,16
SNRPF|SNRPF,150,876,639,910,755,451
USP44|USP44,443,1220,1841,3019,2314,2506
AMDHD1|AMDHD1,1949,7368,6766,12320,5648,6477
HAL|HAL,1467,5299,7452,19415,8028,8105
ELK3|ELK3,80,210,326,528,268,196
LTA4H|LTA4H,582,1632,2342,3681,1856,1852
CFAP54|CFAP54,0,13,0,9,15,8
NEDD1|NEDD1,183,583,912,1081,777,608
CDK17|CDK17,329,889,1433,1888,1118,1221
LOC107052950|LOC107052950,0,0,0,0,0,0
TMPO|TMPO,269,762,1105,1652,1046,815
APAF1|APAF1,176,414,811,873,688,568
IKBIP|IKBIP,158,445,522,824,827,413
SLC25A3|SLC25A3,3897,11999,12189,18651,15778,11912
LOC112531638|LOC112531638,10,26,28,41,61,51
ANKS1B|ANKS1B,0,18,16,25,9,19
ACTR6|ACTR6,247,907,977,1630,996,860
UHRF1BP1L|UHRF1BP1L,526,1448,1960,2843,1773,1581
SLC17A8|SLC17A8,5,15,19,32,21,20
SCYL2|SCYL2,595,1265,2355,3349,2208,2278
