gene_id	rank
ANKRD66	-0.778151250383644
ANKRD9	-3.30728204703335
ANKS1A	-2.94051648493257
ANKS1B	-1.25527250510331
ANKS3	-2.67394199863409
ANKS4B	-0.954242509439325
ANKS6	-2.01283722470517
ANKZF1	-2.57518784492766
ANLN	-1
ANO1	-4.16040850008958
ANO10	-2.33243845991561
ANO2	-1.14612803567824
ANO3	-1.14612803567824
ANO4	-0.778151250383644
ANO5	-2.72835378202123
ANO6	-1.17609125905568
ANO8	-2.19312459835446
ANO9	-2.30535136944662
ANP32A	-3.42308195829723
ANP32B	-3.25163822044821
ANP32E	-3.68966396501577
ANPEP	-4.10239939986498
ANTXR1	-1.76342799356294
ANTXR2	-3.35063560825895
ANTXRL	-2.50650503240487
ANXA1	-1.81954393554187
ANXA11	-2.94497590841205
ANXA13	-2.52891670027765
ANXA2	-2.35983548233989
ANXA4	-3.07627625540422
ANXA4L	-2.20139712432045
