"genes","logFC","logCPM","PValue","FDR"
"EMC2",-2.010942529,5.760720568,3.1449831937508e-14,5.08362668012734e-14
"ARFGAP3",2.035535187,5.49078634,3.16301276174749e-14,5.11223869090256e-14
"UTP3",1.724414739,4.247668316,3.22564916762866e-14,5.21293333575407e-14
"ITGB1BP1",-1.896464063,4.761642107,3.23013100917563e-14,5.21963391797578e-14
"RHO",-3.919395497,-0.43463183,3.2432496660465e-14,5.24028806182701e-14
"APOOL",1.667323152,5.019291256,3.2496202679622e-14,5.25003586148698e-14
"LOC107055287",8.033453875,-1.063425497,3.25065368810784e-14,5.25115986391823e-14
"PDKI2",-1.661164,5.106112031,3.28465469435798e-14,5.30553448605656e-14
"ANK2",-2.916540279,0.860762233,3.29112679724048e-14,5.31543640393534e-14
"PRKAR1B",3.068273638,0.834154015,3.29219045683408e-14,5.31660209822099e-14
"LOC112531703",8.500798554,-0.64882231,3.30531115598732e-14,5.33723660182792e-14
"IPO8",5.355173921,3.061829309,3.31478570826349e-14,5.35197983215629e-14
"LSM8",-2.153573423,4.034090534,3.32404056948455e-14,5.36636532968072e-14
"DYRK3",-2.506714018,4.537270222,3.32634419722875e-14,5.36952686254615e-14
"ZNF276",-1.754036364,4.704551272,3.44504244690609e-14,5.56055740599851e-14
"SCGN",-5.936380097,1.328634422,3.47700018501521e-14,5.61155712267634e-14
"TNFRSF8",8.134435896,-0.985047612,3.54540935904856e-14,5.72136939946089e-14
"ADGRG6",3.852283929,1.770519735,3.59554933139325e-14,5.80168020163589e-14
"ARHGAP45",2.61342984,2.795560439,3.59888804504872e-14,5.80646494091176e-14
"PDLIM4",-2.719484744,1.26690063,3.60678462675826e-14,5.81860161283234e-14
