gene_id,CN_2w_2,CN_2w_1,CN_4w_1,HT_3hr_1,HT_3hr_2,HT_3hr_4
LOC107052702|LOC107052702,0,0,0,482,248,242
SLC38A1|SLC38A1,213,321,801,650,341,280
LOC107052706|LOC107052706,0,0,8,216,56,83
SCAF11|SCAF11,858,2754,3347,0,0,0
LOC112531641|LOC112531641,2,0,0,0,0,0
LOC101749506|LOC101749506,0,9,10,696,347,398
SLC38A2|SLC38A2,2229,8528,12103,638,263,306
AMIGO2|AMIGO2,33,20,87,20,5,6
LOC112533249|LOC112533249,11,12,41,371,213,196
LOC112531642|LOC112531642,1,0,0,809,450,446
LRIG3|LRIG3,0,6,19,1550,499,624
SLC16A7|SLC16A7,67,116,375,9,9,0
ATP23|ATP23,397,1387,1333,20,20,15
RPAP3|RPAP3,209,600,703,240,60,111
LOC112533248|LOC112533248,0,2,5,2417,883,751
SLC38A4|SLC38A4,6078,17438,22508,624,294,356
LOC101749586|LOC101749586,531,2427,965,956,506,681
FAM19A2|FAM19A2,6,10,16,0,0,0
USP15|USP15,523,1290,2497,14,7,4
LOC107052719|LOC107052719,7094,21349,22901,328,227,329
LOC107052718|LOC107052718,4107,16245,16273,0,0,0
TMEM5|TMEM5,61,200,227,4236,1622,1757
MON2|MON2,995,2024,4419,0,0,0
PPM1H|PPM1H,119,303,623,0,0,10
SRGAP1|SRGAP1,68,127,338,12388,4776,5964
C1H12ORF66|C1H12ORF66,892,3728,3134,102,57,58
RPL18A|RPL18A,1517,11015,4542,47,17,87
LOC112531625|LOC112531625,1,1,1,0,28,14
XPOT|XPOT,766,2495,3319,291,223,179
TBK1|TBK1,102,771,948,1695,889,906
RASSF3|RASSF3,1650,6982,9125,901,427,480
TBC1D30|TBC1D30,223,694,768,44518,18495,22969
LEMD3|LEMD3,166,532,587,2181,2726,1541
GNS|GNS,3118,7321,13119,24,6,21
HMGA2|HMGA2,0,12,0,24865,5552,6805
MSRB3|MSRB3,364,1244,1248,21574,4292,6661
LLPH|LLPH,211,1167,654,2887,1435,1587
TMBIM4|TMBIM4,174,540,818,1,0,1
HELB|HELB,421,1226,1575,2,0,2
IFNG|IFNG,4,6,12,6813,2394,2608
GRIP1|GRIP1,0,5,23,11,9,20
CAND1|CAND1,676,1801,3049,438,178,196
LOC112531553|LOC112531553,0,0,0,923,327,460
DYRK2|DYRK2,90,283,434,375,352,164
MDM1|MDM1,136,378,485,3791,1914,1952
LOC101752108|LOC101752108,17,39,61,5328,3982,3026
SLC35E3|SLC35E3,439,2122,2365,1,1,1
RAP1B|RAP1B,603,1923,2486,4563,2060,2049
NUP107|NUP107,355,981,1452,1227,574,767
CPM|CPM,13,12,45,12493,5789,8674
MDM2|MDM2,647,2226,2947,1169,398,492
FRS2|FRS2,149,367,738,729,248,361
CPSF6|CPSF6,440,1199,1694,19213,8210,8584
LOC107052751|LOC107052751,81,290,264,2606,1048,1340
LYZ|LYZ,114,382,520,588,398,473
YEATS4|YEATS4,149,617,514,1123,718,666
LRRC10|LRRC10,4,13,7,1733,833,782
CCT2|CCT2,1415,5584,5770,0,0,0
MYRFL|MYRFL,7,8,7,7,4,0
RAB3IP|RAB3IP,309,1069,1295,0,0,0
KCNMB4|KCNMB4,0,0,12,635,352,392
CNOT2|CNOT2,276,845,1289,4025,1420,1325
LOC101747919|LOC101747919,12,29,48,4,0,10
TSPAN8|TSPAN8,32,73,186,763,384,294
LGR5|LGR5,25,125,147,90,31,31
PTPRB|PTPRB,459,576,1999,2684,1579,1247
PTPRR|PTPRR,5,12,8,1968,876,802
LOC112533274|LOC112533274,0,0,0,2171,753,592
ZFC3H1|ZFC3H1,972,1616,4241,3593,1274,1650
TMEM19|TMEM19,505,1581,1869,57,32,22
RAB21|RAB21,639,1892,2663,700,326,393
TBC1D15|TBC1D15,485,811,1884,2195,991,910
TPH2|TPH2,4,0,0,343,125,168
CTSEAL|CTSEAL,33326,120379,129352,546,4058,1886
LOC101748307|LOC101748307,0,0,0,561,264,303
KCNC2|KCNC2,0,13,7,13,0,3
TRHDE|TRHDE,765,1938,3321,7264,2623,2295
CAPS2|CAPS2,10,30,64,1925,982,953
CCDC107|CCDC107,152,388,675,1456,650,660
GLIPR1L|GLIPR1L,105,97,529,107,52,34
LOC112533299|LOC112533299,0,0,0,60,18,82
PHLDA1|PHLDA1,45,164,276,165,121,104
KRR1|KRR1,173,446,609,2774,883,980
NAP1L1|NAP1L1,805,2241,2907,4,0,0
ZDHHC17|ZDHHC17,120,300,513,0,0,0
CSRP2|CSRP2,114,254,542,5270,2050,2657
E2F7|E2F7,11,9,25,2477,1180,1223
BBS10|BBS10,24,92,109,3875,1714,1807
OSBPL8|OSBPL8,494,1732,2257,3,0,0
LOC101749434|LOC101749434,9,0,0,2657,1405,1511
PAWR|PAWR,407,1048,1501,7,11,0
SYT1|SYT1,4,15,18,15,9,0
LOC112533322|LOC112533322,0,0,0,5325,2128,3003
LOC107052828|LOC107052828,0,0,0,93,35,27
NAV3|NAV3,46,68,214,820,340,453
PPP1R12A|PPP1R12A,338,793,1422,337,211,199
LIN7A|LIN7A,9,17,13,803,439,447
LOC101749704|LOC101749704,11,25,16,303,165,114
RPS16|RPS16,2777,12406,8582,4747,2580,1999
ACSS3|ACSS3,577,1918,2068,565,201,340
LOC107052846|LOC107052846,5,0,0,118,102,71
LOC112533325|LOC112533325,0,4,10,2552,924,1051
LOC112533327|LOC112533327,0,0,0,0,0,0
METTL25|METTL25,41,135,171,9,0,11
